name,sku,barcode,category,description,selling_price,cost_price,current_stock,min_stock_level,max_stock_level,supplier
"Socks","SKU000001","8901234000001","Pet Supplies","High quality socks - Pet Supplies",198,150,257,11,459,"Supplier C"
"Spatula","SKU000002","8901234000002","Jewelry","High quality spatula - Jewelry",782,631,301,20,387,"Supplier C"
"Cooking Pot","SKU000003","8901234000003","Home & Kitchen","High quality cooking pot - Home & Kitchen",852,596,206,6,268,"Wholesale Dist"
"Measuring Cup","SKU000004","8901234000004","Stationery","High quality measuring cup - Stationery",673,403,401,7,200,"Regional Distributor"
"Knife","SKU000005","8901234000005","Health & Wellness","High quality knife - Health & Wellness",458,283,446,12,111,"Regional Distributor"
"Dal","SKU000006","8901234000006","Jewelry","High quality dal - Jewelry",189,114,37,13,204,"Supplier A"
"Wheat","SKU000007","8901234000007","Toys & Games","High quality wheat - Toys & Games",239,172,229,11,390,"Local Vendor"
"Knife","SKU000008","8901234000008","Pet Supplies","High quality knife - Pet Supplies",1253,895,216,12,249,"Wholesale Dist"
"Face Wash","SKU000009","8901234000009","Home & Kitchen","High quality face wash - Home & Kitchen",590,404,253,19,122,"Direct Manufacturer"
"Scissors","SKU000010","8901234000010","Pet Supplies","High quality scissors - Pet Supplies",703,382,469,11,262,"Local Vendor"
"Tablet","SKU000011","8901234000011","Beauty & Personal Care","High quality tablet - Beauty & Personal Care",844,603,46,12,275,"Supplier B"
"Cutting Board","SKU000012","8901234000012","Automotive","High quality cutting board - Automotive",1860,930,330,14,246,"Bulk Distributor"
"Bread","SKU000013","8901234000013","Stationery","High quality bread - Stationery",339,198,307,17,416,"Local Vendor"
"Wheat","SKU000014","8901234000014","Pet Supplies","High quality wheat - Pet Supplies",505,407,373,20,156,"Import Company"
"Tablet","SKU000015","8901234000015","Furniture","High quality tablet - Furniture",242,166,459,20,419,"Direct Manufacturer"
"Headphones","SKU000016","8901234000016","Health & Wellness","High quality headphones - Health & Wellness",924,745,261,11,403,"Supplier C"
"Sugar","SKU000017","8901234000017","Automotive","High quality sugar - Automotive",702,462,119,12,129,"Premium Supplier"
"Face Wash","SKU000018","8901234000018","Home & Kitchen","High quality face wash - Home & Kitchen",169,109,29,14,363,"Wholesale Dist"
"Shampoo","SKU000019","8901234000019","Jewelry","High quality shampoo - Jewelry",643,355,123,14,487,"Local Vendor"
"Pillow","SKU000020","8901234000020","Pet Supplies","High quality pillow - Pet Supplies",163,103,387,5,298,"Premium Supplier"
"Smartphone","SKU000021","8901234000021","Books & Media","High quality smartphone - Books & Media",605,315,420,16,269,"Supplier A"
"Headphones","SKU000022","8901234000022","Musical Instruments","High quality headphones - Musical Instruments",1177,709,381,16,360,"Import Company"
"Speaker","SKU000023","8901234000023","Home & Kitchen","High quality speaker - Home & Kitchen",905,696,39,18,273,"Wholesale Dist"
"Yoga Mat","SKU000024","8901234000024","Stationery","High quality yoga mat - Stationery",1132,712,339,19,157,"Wholesale Dist"
"Spatula","SKU000025","8901234000025","Groceries","High quality spatula - Groceries",305,164,235,8,214,"Regional Distributor"
"Dal","SKU000026","8901234000026","Groceries","High quality dal - Groceries",267,195,383,5,399,"Direct Manufacturer"
"Wheat","SKU000027","8901234000027","Home & Kitchen","High quality wheat - Home & Kitchen",351,234,200,13,324,"Supplier C"
"Shirt","SKU000028","8901234000028","Jewelry","High quality shirt - Jewelry",1728,934,473,6,368,"Supplier C"
"Oil","SKU000029","8901234000029","Clothing","High quality oil - Clothing",694,482,462,20,171,"Import Company"
"Jeans","SKU000030","8901234000030","Automotive","High quality jeans - Automotive",691,397,211,8,191,"Wholesale Dist"
"Board Game","SKU000031","8901234000031","Stationery","High quality board game - Stationery",850,462,420,8,185,"Direct Manufacturer"
"Pasta","SKU000032","8901234000032","Sports & Outdoors","High quality pasta - Sports & Outdoors",107,67,263,19,162,"Direct Manufacturer"
"Jeans","SKU000033","8901234000033","Pet Supplies","High quality jeans - Pet Supplies",485,265,218,10,452,"Supplier B"
"Pillow","SKU000034","8901234000034","Home & Kitchen","High quality pillow - Home & Kitchen",1209,834,290,13,124,"Supplier B"
"Notebook","SKU000035","8901234000035","Books & Media","High quality notebook - Books & Media",680,412,75,19,461,"Local Vendor"
"Notebook","SKU000036","8901234000036","Clothing","High quality notebook - Clothing",375,206,106,18,389,"Import Company"
"Cricket Bat","SKU000037","8901234000037","Health & Wellness","High quality cricket bat - Health & Wellness",446,330,367,16,232,"Premium Supplier"
